word,level,encoded_level
a,A1,0
am,A1,0
a.m.,A1,0
abandon,B1,2
abandoned,B2,3
abbreviation,B2,3
abdomen,C2,5
aberration,C2,5
abhor,C2,5
abhorrent,C2,5
abhorrently,C2,5
ability,A2,1
abject,C2,5
able,B1,2
abnormal,B1,2
abnormally,B2,3
aboard,C1,4
abolish,C2,5
aboriginal,B2,3
aborigine,B1,2
abortion,B2,3
abound,C1,4
about,A1,0
above,B1,2
above all,C2,5
above-mentioned,C2,5
abroad,A2,1
abruptly,B2,3
absence,B1,2
absent,B1,2
absentee,B2,3
absolute,C1,4
absolutely,B1,2
absorb,B1,2
abstain,C2,5
abstract,B1,2
abstraction,C1,4
absurd,B2,3
abundance,C2,5
abundant,C2,5
abundantly,C2,5
abuse,B2,3
academic,B1,2
academy,B1,2
accelerate,C1,4
acceleration,C2,5
accent,B1,2
accentuate,C2,5
accept,A2,1
acceptable,A2,1
acceptance,B1,2
accepted,C2,5
access,B2,3
accessibility,C2,5
accessible,B1,2
accessory,B1,2
accident,A2,1
accidental,B1,2
accidentally,B1,2
acclaimed,C2,5
accommodate,B2,3
accommodation,B2,3
accompany,B1,2
accomplish,B1,2
accomplishment,B2,3
accord,C1,4
accordance,B2,3
according to,B1,2
accordingly,B2,3
account,B1,2
accountability,C2,5
accountant,B1,2
accounting,B2,3
accredit,C2,5
accreditation,C2,5
accrue,C2,5
accumulate,B2,3
accuracy,B1,2
accurate,B1,2
accurately,B1,2
accusation,B2,3
accuse,B1,2
accustom,B1,2
accustomed,C1,4
ache,B2,3
achievable,B2,3
achieve,A2,1
achievement,B1,2
acid,B2,3
acidic,C1,4
acknowledge,B1,2
acknowledgement,C2,5
acknowledgment,C2,5
acoustic,C1,4
acoustically,C1,4
acoustics,C1,4
acquaintance,B1,2
acquire,B1,2
acquisition,B2,3
acquit,C2,5
acre,C1,4
acreage,C2,5
acrobatic,C2,5
acrobatically,C2,5
acrobatics,C2,5
across,A2,1
act,B1,2
action,A1,0
activate,C1,4
activation,C2,5
active,B1,2
actively,B2,3
activist,C1,4
activity,A1,0
actor,A1,0
actress,B1,2
actual,B2,3
actually,A2,1
acute,B2,3
acutely,C1,4
ad,B1,2
ad lib,C2,5
adapt,B1,2
adaptable,B2,3
adaptation,C1,4
add,A1,0
add up,C2,5
added,C1,4
addict,B2,3
addicted,B2,3
addiction,B2,3
addition,A2,1
additional,A2,1
additionally,B2,3
additive,C2,5
address,B1,2
addressee,B1,2
adept,C2,5
adequate,B2,3
adequately,B2,3
adhere,C2,5
adhesion,C2,5
adjacent,B2,3
adjective,A2,1
adjoin,C1,4
adjoining,C1,4
adjust,A2,1
adjustable,C1,4
adjustment,B2,3
ad-lib,C2,5
administer,B2,3
administration,B1,2
administrative,B2,3
administrator,B2,3
admirable,B2,3
admiration,B1,2
admire,A2,1
admiringly,B2,3
admission,B1,2
admit,A2,1
admittedly,B2,3
adopt,B1,2
adopted,B2,3
adoption,B2,3
adorable,B1,2
adore,B2,3
adorn,C2,5
adornment,C2,5
adrenaline,C1,4
adult,A2,1
adulterate,C2,5
advance,B2,3
advanced,A2,1
advancement,B2,3
advantage,A2,1
advantageous,C2,5
advent,B2,3
adventure,A2,1
adventurous,B2,3
adverb,B1,2
adverbial,B1,2
adversary,C1,4
adverse,C2,5
adversely,C2,5
adversity,B2,3
advert,B1,2
advertise,B1,2
advertisement,A2,1
advertising,A2,1
advice,A2,1
advise,A2,1
adviser,B1,2
advisor,B1,2
advisory,C1,4
advocate,B2,3
aerial,B2,3
aerobics,B1,2
aeroplane,A2,1
aesthetic,C1,4
aesthetically,C1,4
affair,A2,1
affect,B1,2
affectation,C2,5
affection,B1,2
affectionate,B2,3
affectionately,B2,3
afford,B1,2
affordable,B2,3
afghanistan,B2,3
afraid,A1,0
africa,C2,5
african,A2,1
after,B1,2
after all,C2,5
afternoon,A1,0
afterward,B1,2
afterwards,B1,2
again,A1,0
against,A2,1
age,A1,0
aged,A2,1
ageless,B2,3
agency,C2,5
agenda,B1,2
agent,A2,1
aggregate,C2,5
aggression,C1,4
aggressive,B1,2
aggressively,B2,3
aghast,C2,5
agile,C2,5
agility,C2,5
ago,A1,0
agonize,C1,4
agonise,C1,4
agony,B2,3
agree,A1,0
agreeable,C1,4
agreement,B1,2
agricultural,B1,2
agriculture,B1,2
ahead,A2,1
aid,B1,2
aids,B1,2
aim,B2,3
aimless,C1,4
aimlessly,C1,4
air,A2,1
air conditioning,B1,2
air force,B1,2
aircraft,B2,3
aircrew,B2,3
airline,B1,2
airplane,A1,0
airport,A1,0
aisle,A2,1
alarm,B1,2
alarm clock,A2,1
albeit,C1,4
album,A1,0
alcohol,B1,2
alcoholic,B2,3
alcoholism,B2,3
alert,B2,3
algorithm,C2,5
alien,B2,3
alienate,C1,4
align,C1,4
alignment,C1,4
alike,B1,2
alive,A2,1
all,A2,1
all right,A1,0
allah,B1,2
allegation,C1,4
allege,C1,4
alleged,B2,3
allegedly,C1,4
allegorical,C2,5
allegory,C2,5
all-encompassing,C2,5
allergic,B1,2
allergy,C2,5
alleviate,C1,4
alliance,B2,3
allocate,B2,3
allocation,C1,4
allot,C2,5
allotment,C2,5
allow,A2,1
allowance,B1,2
allude,C2,5
allusion,C2,5
ally,C2,5
almost,A1,0
alone,A2,1
along,A2,1
alongside,B2,3
aloud,B1,2
alphabet,B1,2
alphabetical,B2,3
already,A1,0
alright,A2,1
also,A1,0
altar,B2,3
alter,B2,3
alteration,B2,3
alternate,B2,3
alternative,B1,2
alternatively,B2,3
although,A2,1
altitude,B2,3
altogether,B1,2
altruism,C1,4
altruistic,C1,4
aluminium,B2,3
aluminum,B2,3
always,A1,0
amateur,C1,4
amaze,B2,3
amazed,B1,2
amazement,B2,3
amazing,B1,2
amazingly,B2,3
amazon,B2,3
ambassador,B2,3
ambiguity,B2,3
ambiguous,B2,3
ambition,A2,1
ambitious,B1,2
ambulance,B1,2
amend,C1,4
amendment,B2,3
amenity,C2,5
america,A1,0
american,A1,0
amid,C1,4
ammonia,B2,3
among,A2,1
amongst,B2,3
amorphous,C2,5
amorphously,C2,5
amount,B1,2
ample,B2,3
amplification,C1,4
amplifier,B2,3
amplify,B2,3
amply,C1,4
amuse,B2,3
amused,A2,1
amusement,A2,1
amusing,B1,2
an,A1,0
analogy,B2,3
analyse,B1,2
analysis,B1,2
analyst,B2,3
analytical,C2,5
analyze,B1,2
anarchic,C2,5
ancestor,A2,1
anchor,C1,4
anchorage,B2,3
anchored,C1,4
anchorman,B2,3
anchorperson,B2,3
ancient,A2,1
and,A1,0
anecdote,C2,5
angel,A2,1
anger,B1,2
angle,C1,4
angrily,A2,1
angry,A1,0
angst,C2,5
angsty,C2,5
anguish,B2,3
angular,C2,5
angularity,C2,5
animal,A1,0
animate,B2,3
animated,B1,2
animatedly,C1,4
animation,B1,2
ankle,A2,1
annex,C2,5
anniversary,A2,1
announce,B1,2
announcement,B1,2
annoy,A2,1
annoyance,B1,2
annoyed,B1,2
annoying,A2,1
annual,B1,2
annually,B1,2
annum,C2,5
anomaly,C2,5
anonymity,C2,5
anonymous,B2,3
another,A2,1
answer,A1,0
ant,B1,2
antediluvian,C2,5
antenna,C2,5
anthology,C2,5
anthropological,C2,5
anthropologically,C2,5
anthropologist,C1,4
anthropology,C1,4
anti,B1,2
antiaircraft,B2,3
antibacterial,B2,3
anticancer,B2,3
anticipate,B2,3
anticipation,B2,3
anticlimactic,C1,4
anticlimactically,C2,5
antics,C1,4
antidote,C2,5
antipollution,B2,3
antiquated,C1,4
antique,B2,3
antiquity,C1,4
antistatic,B2,3
antithesis,C2,5
antithetical,C2,5
antivirus,B2,3
antonym,B1,2
anxiety,B1,2
anxious,A2,1
anxiously,B1,2
any,A1,0
any more,C2,5
anybody,A1,0
anyhow,B1,2
anymore,A2,1
anyone,A1,0
anything,A1,0
anyway,A2,1
anywhere,A2,1
apart,A2,1
apartment,A2,1
ape,B1,2
apologise,C1,4
apologize,C1,4
apology,B1,2
apostle,C2,5
apostrophe,B2,3
appal,C1,4
appall,C1,4
appalling,C1,4
appallingly,C1,4
apparatus,C1,4
apparent,B1,2
apparently,A2,1
appeal,B2,3
appear,A2,1
appearance,A2,1
appendix,B2,3
appetite,B1,2
applaud,B1,2
applause,B1,2
apple,A1,0
appliance,C1,4
applicable,C1,4
applicant,B2,3
application,B1,2
applied,C1,4
apply,A2,1
appoint,B1,2
appointment,A2,1
appraisal,C1,4
appreciate,A2,1
appreciation,B1,2
appreciative,B2,3
apprehend,C2,5
apprehensive,C1,4
apprentice,C2,5
apprenticeship,C1,4
approach,B2,3
appropriate,A2,1
appropriately,B2,3
approval,B1,2
approve,B1,2
approx,C2,5
approximate,B2,3
approximately,B1,2
apricot,C2,5
april,A1,0
apron,A1,0
apt,C1,4
apt to,C1,4
aptitude,C2,5
aqua,C1,4
aquarium,C1,4
arab,B2,3
arabia,C1,4
arabic,C2,5
arc,C1,4
arcane,C2,5
arcanely,C2,5
arch,B2,3
archaeological,C2,5
archeologist,B2,3
archaeologist,B2,3
archbishop,C2,5
archetypal,C2,5
archetype,C2,5
architect,B1,2
architectural,C1,4
architecture,A2,1
archival,C2,5
archive,C1,4
arctic,B2,3
ardour,C2,5
ardor,C2,5
arduous,C2,5
arduously,C2,5
are,A1,0
area,A2,1
arena,B2,3
argentina,B2,3
arguably,C2,5
argue,A2,1
argument,A2,1
arise,B1,2
aristocracy,B2,3
arithmetic,B1,2
arm,B1,2
armchair,A2,1
armed,A2,1
armed forces,C2,5
armful,B2,3
armoury,C2,5
armory,C2,5
army,B1,2
around,A2,1
arouse,B2,3
arrange,B1,2
arrangement,B1,2
array,C1,4
arrest,B1,2
arrival,B1,2
arrive,A1,0
arrogant,B2,3
arrow,B1,2
arse,B2,3
art,A1,0
artefact,C2,5
artery,B2,3
article,A1,0
articulate,C2,5
articulation,C2,5
artifact,C2,5
artifice,C2,5
artificial,A2,1
artificially,B2,3
artist,B1,2
artistic,B1,2
artistically,C1,4
artistry,B2,3
artwork,C1,4
as,A2,1
as for,B1,2
as if,B1,2
ascertain,C1,4
ash,B2,3
ashamed,B1,2
ashtray,C2,5
asia,A2,1
asian,A2,1
aside,B1,2
ask,A1,0
asleep,A2,1
aspect,B1,2
asphalt,C2,5
aspiration,B2,3
aspire,B2,3
aspirin,B1,2
assault,B2,3
assemble,B2,3
assembly,B2,3
assert,B2,3
assertion,C1,4
assess,B2,3
assessment,B2,3
asset,A2,1
assign,B1,2
assignment,B1,2
assimilate,C2,5
assimilation,C2,5
assist,B1,2
assistance,B1,2
assistant,B1,2
associate,B1,2
association,A2,1
assume,B1,2
assumption,B2,3
assurance,B2,3
assure,B2,3
astonish,B2,3
astonished,B2,3
astonishing,B2,3
astonishment,B2,3
astray,C1,4
astringent,C2,5
astronaut,A2,1
astronomer,B1,2
astronomy,B2,3
asylum,C1,4
at,A1,0
at all,A2,1
at first,B1,2
at least,A2,1
at once,B1,2
atheist,C2,5
athlete,A2,1
athletic,B1,2
athleticism,C2,5
athletics,B2,3
atlantic,B1,2
atmosphere,B1,2
atmospheric,C1,4
atom,A2,1
atomic,B1,2
attach,B1,2
attached,B2,3
attachment,B1,2
attack,A2,1
attain,B1,2
attainable,B2,3
attainment,C2,5
attempt,B1,2
attend,B1,2
attendance,B2,3
attention,A2,1
attentive,B2,3
attentively,B2,3
attitude,A2,1
attract,B1,2
attraction,B1,2
attractive,A2,1
attractiveness,B2,3
attribute,B2,3
attributive,C2,5
attrition,C2,5
attuned,C2,5
atypical,B2,3
aubergine,B2,3
auction,C1,4
audience,A2,1
audio,A2,1
audit,C2,5
audition,B2,3
august,A1,0
aunt,A1,0
aunty,B1,2
austere,C2,5
austerely,C2,5
austerity,C2,5
australia,A1,0
australian,A2,1
austria,B2,3
austrian,C2,5
authentic,C1,4
authenticity,C2,5
author,A2,1
authorisation,C2,5
authorise,C1,4
authoritative,B2,3
authority,B1,2
authorize,B2,3
authorship,C2,5
automate,C2,5
automatic,C1,4
automatically,C1,4
autonomous,C2,5
autonomously,C2,5
autonomy,B2,3
autopilot,C2,5
autumn,A1,0
auxiliary,B1,2
