original,original_level,baseline_simplified,baseline_sim_score,baseline_level,freq_simplified,freq_similarity,freq_level,bert_simplified,bert_similarity,bert_level
He bought a new laptop because his old one stopped working.,A1,He bought a new laptop because his old one stopped playing.,0.918410897,A1,He bought a new computer because his old one stopped working .,0.904,A1,He bought a new laptop because his old one stop working .,0.99,A1
"The movie was interesting,  but a bit too long for me.",A1,"The movie was interesting, but a bit too long for me.",1,A1,"The movie was interesting , but a bit too long for me .",1,A1,"The story was amusing , but a bit too long for me .",0.749,A1
I will call you as soon as I arrive at the station.,A1,I will call you as soon as I get at the place.,0.821121812,A1,I will call you as soon as I arrived at the station .,0.989,A1,I will call you as soon as I arrived at the station .,0.989,A1
We met each other when we were children.,A1,We met each other when we were children.,0.99999994,A1,We met each other when we were children .,1,A1,We met each other when we was children .,0.998,A1
She cooked dinner while listening to music.,A1,She cooked dinner while hearing to music.,0.976088583,A1,She eaten dinner while listening to music .,0.929,A1,She cooked dinner while listen to music .,0.993,A1
"If it snows tomorrow,  we will build a snowman.",A1,"If it snows tomorrow, we will build a snowman.",1,A1,"If it snow tomorrow , we will build a tree .",0.783,A1,"If it snows tomorrow , we will build a snowman .",1,A1
"He didn't bring his homework, so the teacher was upset.",A1,"He didn't bring his homework, so the teacher was upset.",1,A1,"He did n't bring his class , so the teacher was angry .",0.848,A1,"He did n't bring his homework , so the teacher was upset .",0.983,A1
I am planning to visit my grandparents next weekend.,A1,I am designing to visit my grandparents next weekend.,0.674906075,A1,I am planning to visit my parents next week .,0.791,A1,I am planning to visit my grandparents next weekend .,1,A1
Many people believe that exercise improves mental health.,A1,Many people believe that use betters mental health.,0.725996315,A1,Many people believe that exercise improve mental health .,0.992,A1,Many people believe that exercising improves mental health .,0.977,A1
She explained the reasons for her decision clearly.,A1,She explained the reasons for her decision clearly.,1,A1,She explained the reasons for her decision clearly .,1,A1,She explained the reasons for her decision clearly .,1,A1
We discussed different solutions before choosing one.,A1,We discussed different roots before taking one.,0.498201966,A1,We discussed different alternatives before selecting one .,0.723,A2,We explored different alternatives before choosing one .,0.692,A2
"Although the weather was bad,  they continued the race.",A1,"Although the weather was bad, they covered the race.",0.891383052,A1,"Although the weather was bad , they continued the race .",1,A1,"but the rain was bad , they began the race .",0.789,A1
Learning new languages opens doors to different cultures.,A2,Taking new languages opens doors to different cultures.,0.920415282,A2,Learning new languages open doors to different countries .,0.882,A1,Learning new languages opens doors to different countries .,0.902,A2
He apologized sincerely for the misunderstanding.,A2,He apologized truly for the mistake.,0.750423312,A2,He apologize deeply for the confusion .,0.705,B1,He apologize deeply for the confusion .,0.705,B1
They organized a charity event to help local families.,A1,They formed a charity event to help local houses.,0.852959871,A1,They organized a charity event to help local families .,1,A1,They organised a charitable event to help local families .,0.964,A2
It is important to eat healthy food regularly.,A1,It is important to eat healthy food regularly.,1,A1,It is important to eat good food regularly .,0.928,A1,It is important to eat healthy food frequently .,0.988,A2
She described her experiences traveling across Asia.,A1,She named her experiences going across Asia.,0.867836654,A1,She described her experiences travelling across Asia .,0.997,A1,She described her experience traveling over Asia .,0.981,A1
The government announced new environmental policies.,A2,The government declared new environmental insurances.,0.776677847,A2,The government announced new environmental policy .,0.985,B1,The government announced new economic policies .,0.717,A2
They argued about the best way to solve the problem.,A1,They debated about the best way to solve the problem.,0.886182547,A1,They argued about the best way to resolve the problem .,0.941,A1,They argued about the best way to resolve the problem .,0.941,A1
He promised to support the team no matter what.,A1,He called to back the team no matter what.,0.616188526,A1,He promised to support the team no matter what .,1,A1,He promised to support the team no matter what .,1,A1
